,Trial,Time,L X Coordinate,L Y Coordinate,R X Coordinate,R Y Coordinate,Label
0,Trial001,4204874933,572.11,343.3,572.11,343.3,Fixation
1,Trial001,4204908549,567.92,338.5,567.92,338.5,Fixation
2,Trial001,4204941726,562.14,338.09,562.14,338.09,Fixation
3,Trial001,4204975049,559.1,338.05,559.1,338.05,Fixation
4,Trial001,4205008407,623.98,528.27,623.98,528.27,Saccade
5,Trial001,4205041591,652.21,526.56,652.21,526.56,Fixation
6,Trial001,4205075006,652.14,384.45,652.14,384.45,Saccade
7,Trial001,4205108393,656.21,343.66,656.21,343.66,Fixation
8,Trial001,4205141698,665.01,338.28,665.01,338.28,Fixation
9,Trial001,4205175035,662.14,337.37,662.14,337.37,Fixation
10,Trial001,4205208380,666.32,341.96,666.32,341.96,Fixation
11,Trial001,4205241691,672.24,170.9,672.24,170.9,Saccade
12,Trial001,4205275024,670.33,116.6,670.33,116.6,Saccade
13,Trial001,4205308765,670.22,112.64,670.22,112.64,Fixation
14,Trial001,4205341678,671.47,111.19,671.47,111.19,Fixation
15,Trial001,4205375005,671.87,105.37,671.87,105.37,Fixation
16,Trial001,4205408341,671.59,105.19,671.59,105.19,Fixation
17,Trial001,4205441670,673.14,103.62,673.14,103.62,Fixation
18,Trial001,4205474998,671.66,102.7,671.66,102.7,Fixation
19,Trial001,4205508333,670.9,98.83,670.9,98.83,Fixation
20,Trial001,4205541728,672.24,102.34,672.24,102.34,Fixation
21,Trial001,4205574984,674.16,100.28,674.16,100.28,Fixation
22,Trial001,4205608316,671.74,96.96,671.74,96.96,Fixation
23,Trial001,4205641661,670.74,96.28,670.74,96.28,Fixation
24,Trial001,4205674841,670.6,97.46,670.6,97.46,Fixation
25,Trial001,4205708292,669.66,103.5,669.66,103.5,Fixation
26,Trial001,4205741635,669.51,505.68,669.51,505.68,Saccade
27,Trial001,4205774956,674.67,507.78,674.67,507.78,Fixation
28,Trial001,4205808303,672.42,506.45,672.42,506.45,Fixation
29,Trial001,4205841492,676.46,506.92,676.46,506.92,Fixation
30,Trial001,4205874823,680.99,505.64,680.99,505.64,Fixation
31,Trial001,4205908273,681.17,503.52,681.17,503.52,Fixation
32,Trial001,4205941574,680.77,503.58,680.77,503.58,Fixation
33,Trial001,4205974935,681.24,504.78,681.24,504.78,Fixation
34,Trial001,4206008270,682.75,504.39,682.75,504.39,Fixation
35,Trial001,4206041599,693.73,508.82,693.73,508.82,Fixation
36,Trial001,4206074931,706.83,517.23,706.83,517.23,Fixation
37,Trial001,4206108263,711.34,522.28,711.34,522.28,Fixation
38,Trial001,4206141464,719.06,527.04,719.06,527.04,Fixation
39,Trial001,4206174796,716.59,530.11,716.59,530.11,Fixation
40,Trial001,4206208251,725.45,536.74,725.45,536.74,Fixation
41,Trial001,4206241672,723.41,536.13,723.41,536.13,Fixation
42,Trial001,4206274915,762.26,595.26,762.26,595.26,Saccade
43,Trial001,4206308241,761.21,588.27,761.21,588.27,Fixation
44,Trial001,4206341591,777.29,598.37,777.29,598.37,Fixation
45,Trial001,4206374900,781.68,591.91,781.68,591.91,Fixation
46,Trial001,4206408231,782.14,600.24,782.14,600.24,Fixation
47,Trial001,4206441478,777.52,604.34,777.52,604.34,Fixation
48,Trial001,4206474890,786.42,604.11,786.42,604.11,Fixation
49,Trial001,4206508098,753.77,546.94,753.77,546.94,Saccade
50,Trial001,4206541476,737.54,467.04,737.54,467.04,Saccade
51,Trial001,4206574881,727.01,455.46,727.01,455.46,Fixation
52,Trial001,4206608210,728.4,451.61,728.4,451.61,Fixation
53,Trial001,4206641568,718.93,450.61,718.93,450.61,Fixation
54,Trial001,4206674752,716.17,450.16,716.17,450.16,Fixation
55,Trial001,4206708182,719.43,446.31,719.43,446.31,Fixation
56,Trial001,4206741399,715.56,445.25,715.56,445.25,Fixation
57,Trial001,4206774812,715.78,444.87,715.78,444.87,Fixation
58,Trial001,4206808074,708.86,444.6,708.86,444.6,Fixation
59,Trial001,4206841446,711.26,444.65,711.26,444.65,Fixation
60,Trial001,4206874834,710.57,446.11,710.57,446.11,Fixation
61,Trial001,4206908167,717.11,498.36,717.11,498.36,Saccade
62,Trial001,4206941499,768.66,676.97,768.66,676.97,Saccade
63,Trial001,4206974824,768.71,678.62,768.71,678.62,Fixation
64,Trial001,4207008032,762.75,675.71,762.75,675.71,Fixation
65,Trial001,4207041663,779.91,672.88,779.91,672.88,Fixation
66,Trial001,4207074823,771.77,670.5,771.77,670.5,Fixation
67,Trial001,4207108154,779.62,671.63,779.62,671.63,Fixation
68,Trial001,4207141516,786.88,665.75,786.88,665.75,Fixation
69,Trial001,4207174814,786.09,661.33,786.09,661.33,Fixation
70,Trial001,4207208140,789.96,659.01,789.96,659.01,Fixation
71,Trial001,4207241522,790.21,655.32,790.21,655.32,Fixation
72,Trial001,4207274806,791.61,659.03,791.61,659.03,Fixation
73,Trial001,4207308133,801.37,396.37,801.37,396.37,Saccade
74,Trial001,4207341494,803.6,385.44,803.6,385.44,Fixation
75,Trial001,4207374793,808.63,381.49,808.63,381.49,Fixation
76,Trial001,4207408120,807.18,374.57,807.18,374.57,Fixation
77,Trial001,4207441433,811.99,366.96,811.99,366.96,Fixation
78,Trial001,4207474658,801.47,339.31,801.47,339.31,Fixation
79,Trial001,4207508110,798.99,326.8,798.99,326.8,Fixation
80,Trial001,4207541430,797.31,320.81,797.31,320.81,Fixation
81,Trial001,4207574646,795.53,320.67,795.53,320.67,Fixation
82,Trial001,4207608102,677.31,451.87,677.31,451.87,Saccade
