Time,Type,Trial,L Raw X [px],L Raw Y [px],R Raw X [px],R Raw Y [px],L Dia X [px],L Dia Y [px],L Mapped Diameter [mm],R Dia X [px],R Dia Y [px],R Mapped Diameter [mm],L CR1 X [px],L CR1 Y [px],L CR2 X [px],L CR2 Y [px],R CR1 X [px],R CR1 Y [px],R CR2 X [px],R CR2 Y [px],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Timing,L Validity,R Validity,Pupil Confidence,L Plane,R Plane,L EPOS X,L EPOS Y,L EPOS Z,R EPOS X,R EPOS Y,R EPOS Z,L GVEC X,L GVEC Y,L GVEC Z,R GVEC X,R GVEC Y,R GVEC Z,Frame
4204874933,SMP,1,1433.74,779.17,1119.51,804.56,16.74,16.74,2.85,17.37,17.37,2.99,1426.41,783.69,1436.82,783.64,1113.57,808.41,1123.9,808.3,572.11,343.3,572.11,343.3,0,1,1,2,-1,-1,-15.7,-4.31,561.94,40.55,-8.82,569.09,-0.05,0.17,-0.98,-0.1,0.16,-0.98,-1
4204908549,SMP,1,1433.98,780.22,1119.95,805.33,17.05,17.05,2.86,17.28,17.28,2.98,1426.71,784.53,1437.36,784.53,1113.85,809.33,1124.16,809.27,567.92,338.5,567.92,338.5,0,1,1,2,-1,-1,-15.76,-4.46,561.56,40.5,-8.99,569.08,-0.04,0.16,-0.99,-0.1,0.16,-0.98,-1
4204941726,SMP,1,1434.2,780.23,1119.69,805.42,17.05,17.05,2.86,17.04,17.04,2.97,1426.67,784.51,1437.33,784.51,1113.72,809.38,1124.08,809.27,562.14,338.09,562.14,338.09,0,1,1,2,-1,-1,-15.75,-4.45,561.37,40.51,-8.99,568.93,-0.05,0.16,-0.99,-0.1,0.16,-0.98,-1
4204975049,SMP,1,1434.04,780.04,1119.8,805.34,17.16,17.16,2.86,17.02,17.02,2.96,1426.64,784.05,1437.27,784.13,1113.68,809.33,1124.06,809.18,559.1,338.05,559.1,338.05,0,1,1,2,-1,-1,-15.74,-4.38,561.34,40.5,-8.97,568.77,-0.05,0.15,-0.99,-0.1,0.16,-0.98,-1
4205008407,SMP,1,1431.94,783.25,1118.08,809.03,17.32,17.32,2.87,17.18,17.18,2.96,1425.14,785.4,1435.76,785.44,1112.99,810.85,1123.34,810.88,623.98,528.27,623.98,528.27,0,1,1,2,-1,-1,-15.47,-4.61,561.29,40.62,-9.26,568.65,-0.03,0.09,-1,-0.06,0.08,-0.99,-1
4205041591,SMP,1,1430.44,782.88,1116.65,808.86,17.09,17.09,2.87,17.17,17.17,2.95,1424.37,784.99,1435,784.9,1111.89,810.85,1122.25,810.88,652.21,526.56,652.21,526.56,0,1,1,2,-1,-1,-15.33,-4.53,561.21,40.81,-9.26,568.59,0,0.08,-1,-0.05,0.09,-0.99,-1
4205075006,SMP,1,1430.43,779.87,1116.46,806.76,16.83,16.83,2.86,17.41,17.41,2.96,1423.93,783.6,1434.88,783.58,1111.81,809.59,1122.09,809.61,652.14,384.45,652.14,384.45,0,1,1,2,-1,-1,-15.25,-4.28,559.95,40.85,-9.04,568.76,-0.01,0.14,-0.99,-0.05,0.12,-0.99,-1
4205108393,SMP,1,1430.56,779.11,1116.33,806.02,17.04,17.04,2.86,17.45,17.45,2.96,1424.2,783.35,1434.8,783.46,1111.74,809.43,1121.88,809.54,656.21,343.66,656.21,343.66,0,1,1,2,-1,-1,-15.29,-4.25,560.7,40.91,-9.02,569.24,-0.01,0.16,-0.99,-0.05,0.14,-0.99,-1
4205141698,SMP,1,1430.07,779.23,1115.63,805.98,17.08,17.08,2.87,17.19,17.19,2.96,1424,783.55,1434.59,783.53,1110.85,809.7,1121.27,809.72,665.01,338.28,665.01,338.28,0,1,1,2,-1,-1,-15.25,-4.28,560.83,41,-9.06,568.71,0,0.16,-0.99,-0.05,0.15,-0.99,-1
4205175035,SMP,1,1429.79,778.92,1115.3,805.81,17.01,17.01,2.87,17.38,17.38,2.96,1423.57,783.23,1434.24,783.32,1110.35,809.55,1120.62,809.55,662.14,337.37,662.14,337.37,0,1,1,2,-1,-1,-15.18,-4.23,560.55,41.12,-9.03,568.89,-0.01,0.17,-0.99,-0.06,0.15,-0.99,-1
